time,ax,ay,az,atotal
2.177,0.85,-0.11,-0.41,0.95
2.197,0.67,0.02,-0.54,0.86
2.217,-0.17,-0.05,-0.16,0.24
2.236,-0.54,0.23,-0.25,0.64
2.257,-0.64,0.48,0.12,0.81
2.277,-0.13,0.74,0.14,0.76
2.297,-0.24,0.76,0.24,0.83
2.316,-0.6,0.18,0.33,0.7
2.336,-0.49,-0.07,-0.2,0.53
2.356,-0.38,-0.24,-0.61,0.75
2.376,-0.45,-0.34,-0.11,0.57
2.396,-0.69,-0.22,-0.0,0.73
2.416,-1.01,0.05,-0.4,1.08
2.436,-1.07,0.1,-0.07,1.08
2.456,-0.4,-0.03,0.2,0.45
2.476,0.19,-0.01,0.37,0.41
2.496,0.31,0.07,0.11,0.34
2.516,0.26,0.43,0.08,0.51
2.536,0.18,0.84,-0.36,0.93
2.556,0.01,0.88,-1.05,1.37
2.576,-0.66,0.49,-0.32,0.89
2.596,-0.54,0.04,0.29,0.62
2.616,0.3,-0.33,0.07,0.45
2.636,0.43,-0.42,0.38,0.71
2.656,0.37,-0.52,0.5,0.81
2.676,0.32,-0.42,0.26,0.59
2.696,-0.22,0.33,-0.07,0.4
2.716,-0.63,1.19,-0.53,1.44
2.736,-0.81,1.43,-0.38,1.68
2.756,-0.21,1.03,-0.06,1.06
2.776,0.17,0.66,0.01,0.68
2.796,0.43,0.54,0.02,0.69
2.816,0.18,0.45,-0.26,0.56
2.836,-0.16,0.29,-0.0,0.33
2.856,-0.36,-0.09,-0.03,0.37
2.876,-0.23,-0.4,0.16,0.48
2.896,-0.03,-0.88,0.38,0.96
2.915,0.08,-1.17,-0.18,1.18
2.935,0.19,-1.44,-0.56,1.56
2.955,-0.09,-1.3,-0.25,1.33
2.976,-0.2,-0.93,0.64,1.15
2.995,-0.04,-0.41,0.6,0.73
3.015,0.13,0.39,-0.1,0.42
3.035,0.25,0.81,-0.37,0.92
3.055,0.15,0.84,0.26,0.89
3.075,-0.02,0.57,0.8,0.98
3.095,-0.07,0.54,-0.06,0.55
3.115,0.21,0.61,-0.85,1.06
3.135,0.56,0.37,-0.84,1.08
3.155,0.21,-0.8,0.54,0.99
3.175,-0.23,-1.54,0.57,1.66
3.195,-0.33,0.42,-1.65,1.74
3.215,0.06,1.21,-1.32,1.79
3.235,0.2,0.54,0.72,0.92
3.255,-0.04,-0.11,1.27,1.28
3.275,-0.12,0.25,0.18,0.34
3.295,-0.02,0.64,-0.7,0.95
3.315,-0.02,0.52,-0.65,0.84
3.335,-0.1,0.36,-0.29,0.47
3.355,-0.13,0.18,0.29,0.36
3.375,-0.07,0.07,-0.11,0.14
3.395,0.06,-0.04,-0.22,0.23
3.415,0.08,-0.12,0.11,0.18
3.435,0.0,-0.18,0.06,0.19
3.455,-0.05,-0.07,-0.11,0.14
3.475,-0.14,-0.07,-0.24,0.28
3.495,-0.17,-0.33,-0.31,0.48
3.515,-0.26,-0.54,-0.16,0.62
3.534,-0.27,-0.48,0.1,0.56
3.555,-0.25,-0.21,0.15,0.36
3.575,-0.3,0.11,0.05,0.32
3.594,-0.31,0.29,0.11,0.44
3.614,-0.3,0.33,-0.31,0.55
3.634,-0.33,0.18,-0.43,0.57
3.654,-0.35,0.04,-0.19,0.4
3.674,-0.23,0.21,-0.01,0.31
3.694,-0.07,0.4,-0.06,0.41
3.714,0.19,0.55,0.12,0.59
3.734,0.49,0.52,0.32,0.78
3.754,0.74,0.51,-0.01,0.9
3.774,0.88,0.41,-0.28,1.01
3.794,0.82,0.48,-0.2,0.97
3.814,0.68,0.39,-0.34,0.86
3.834,0.46,0.2,-0.16,0.53
3.854,0.21,-0.11,-0.07,0.25
3.874,0.19,-0.32,-0.26,0.45
3.894,0.28,-0.47,-0.1,0.55
3.914,0.22,-0.34,-0.35,0.54
3.934,0.11,-0.04,0.31,0.34
3.954,-0.23,0.24,0.45,0.55
3.974,-0.18,0.52,-0.25,0.6
3.994,-0.35,0.6,-0.61,0.92
4.014,-0.69,0.57,-0.33,0.95
4.034,-1.15,0.62,-0.07,1.31
4.054,-1.68,0.63,0.04,1.8
4.074,-1.75,0.13,0.11,1.76
4.094,-0.99,-0.32,-0.17,1.05
4.114,-0.34,-0.42,-0.35,0.64
4.134,0.1,-0.12,-0.3,0.34
4.154,0.41,0.34,-0.05,0.53
4.173,0.44,0.59,0.03,0.74
4.193,0.72,0.71,-0.17,1.03
4.213,0.91,0.46,-0.12,1.02
4.233,0.92,0.14,-0.13,0.94
4.253,0.63,-0.03,-0.1,0.64
4.273,0.32,-0.08,-0.03,0.33
4.293,0.01,0.02,-0.09,0.1
4.313,-0.26,0.09,-0.19,0.33
4.333,-0.42,0.09,-0.19,0.47
4.353,-0.53,0.04,-0.15,0.55
4.373,-0.52,0.05,-0.13,0.54
4.393,-0.3,0.11,-0.1,0.33
4.413,-0.21,0.05,0.06,0.22
4.433,-0.14,0.1,-0.2,0.27
4.453,-0.08,0.15,0.03,0.18
4.473,-0.11,0.27,0.01,0.29
4.493,-0.02,0.31,-0.17,0.35
4.513,0.07,0.32,-0.23,0.4
4.533,0.11,0.27,-0.16,0.33
4.553,0.11,0.18,-0.09,0.23
4.573,0.09,0.11,-0.06,0.16
4.593,0.05,0.07,-0.07,0.11
4.613,0.01,0.09,-0.02,0.1
4.633,-0.02,0.12,0.01,0.12
4.653,-0.02,0.17,-0.06,0.18
4.673,0.05,0.17,-0.03,0.18
4.693,0.08,0.15,0.01,0.16
4.713,-0.01,0.11,-0.04,0.12
4.733,-0.08,0.08,-0.08,0.14
4.753,-0.08,0.04,-0.1,0.13
4.773,-0.04,-0.01,-0.1,0.11
4.793,-0.04,-0.04,-0.09,0.11
4.813,-0.06,-0.04,-0.08,0.11
4.832,-0.06,-0.03,-0.08,0.11
4.853,-0.03,0.01,-0.03,0.05
4.873,0.02,0.03,-0.06,0.07
4.892,0.08,0.05,-0.0,0.1
4.912,0.09,0.11,-0.18,0.23
4.932,0.1,0.07,0.03,0.13
4.952,-0.08,0.1,-0.18,0.22
4.972,-0.14,0.11,-0.06,0.19
4.992,-0.13,0.12,0.11,0.21
5.012,0.01,0.24,-0.05,0.25
5.032,0.21,0.31,-0.23,0.44
5.052,0.22,0.21,-0.22,0.38
5.072,0.03,0.06,-0.13,0.15
5.092,-0.11,-0.03,-0.14,0.18
5.112,-0.17,-0.02,-0.07,0.18
5.132,-0.13,0.04,-0.02,0.14
5.152,-0.06,0.02,0.04,0.07
5.172,-0.02,-0.0,-0.01,0.02
5.192,-0.01,0.03,-0.18,0.18
5.212,-0.02,0.04,-0.1,0.11
5.232,-0.04,0.04,-0.0,0.05
5.252,-0.04,0.01,0.01,0.04
5.272,0.0,-0.0,-0.07,0.07
5.292,0.0,0.01,-0.12,0.12
5.312,-0.01,0.03,-0.11,0.11
5.332,-0.03,0.05,-0.06,0.08
5.352,-0.03,0.08,-0.08,0.12
5.372,-0.0,0.08,-0.08,0.11
5.392,0.03,0.05,-0.09,0.11
5.412,-0.02,0.04,-0.11,0.12
5.432,-0.08,0.04,-0.03,0.1
5.451,-0.03,0.04,-0.25,0.25
5.472,0.06,-0.05,0.05,0.09
5.492,0.01,-0.02,-0.18,0.18
5.511,0.04,0.04,-0.0,0.06
5.531,-0.05,0.12,0.16,0.2
5.551,-0.09,0.17,-0.08,0.21
5.571,-0.02,0.13,-0.24,0.27
5.591,-0.02,0.02,-0.23,0.23
5.611,-0.04,-0.07,-0.09,0.12
5.631,-0.02,-0.03,-0.06,0.07
5.651,-0.0,0.04,-0.01,0.04
5.671,0.02,0.06,-0.01,0.06
5.691,0.07,0.04,-0.02,0.08
5.711,0.02,0.02,-0.12,0.13
5.731,-0.0,0.04,-0.13,0.14
5.751,-0.03,0.05,-0.11,0.12
5.771,-0.05,0.05,-0.03,0.08
5.791,-0.02,0.06,-0.05,0.08
5.811,0.0,0.04,-0.1,0.11
5.831,0.01,0.02,-0.12,0.12
5.851,0.0,-0.0,-0.07,0.07
5.871,-0.03,-0.01,-0.08,0.09
5.891,-0.04,-0.02,-0.12,0.13
5.911,-0.01,-0.01,-0.13,0.13
5.931,0.01,0.01,-0.13,0.13
5.951,-0.02,-0.0,-0.07,0.08
5.971,-0.05,-0.02,-0.1,0.12
5.991,-0.02,0.04,-0.3,0.3
6.011,-0.01,-0.03,0.02,0.03
6.031,-0.0,0.0,-0.21,0.21
6.051,-0.01,0.07,0.04,0.08
6.071,0.01,0.13,0.05,0.14
6.091,0.08,0.15,-0.14,0.22
6.11,0.06,0.06,-0.22,0.24
6.131,-0.07,-0.03,-0.14,0.16
6.15,-0.09,-0.04,-0.06,0.12
6.17,-0.02,-0.01,-0.03,0.04
6.19,0.06,0.03,-0.05,0.08
6.21,0.14,0.01,-0.02,0.14
6.23,0.09,-0.02,-0.04,0.1
6.25,-0.05,-0.02,-0.17,0.18
6.27,-0.11,-0.0,-0.14,0.18
6.29,-0.15,0.03,-0.07,0.16
6.31,-0.1,0.05,-0.02,0.11
6.33,0.01,0.04,-0.05,0.07
6.35,0.04,0.04,-0.07,0.09
6.37,0.02,0.02,-0.09,0.1
6.39,0.02,-0.01,-0.08,0.08
6.41,-0.01,0.01,-0.11,0.11
6.43,-0.01,0.03,-0.1,0.1
6.45,-0.02,0.05,-0.07,0.09
6.47,-0.04,0.01,-0.09,0.1
6.49,-0.02,-0.01,-0.05,0.05
6.51,0.04,-0.01,-0.21,0.21
6.53,0.06,-0.05,0.05,0.09
6.55,-0.02,-0.02,-0.23,0.23
6.57,-0.01,0.0,0.01,0.01
6.59,-0.06,0.05,0.12,0.14
6.61,-0.02,0.11,-0.11,0.16
6.63,0.05,0.06,-0.22,0.24
6.65,-0.01,-0.01,-0.15,0.15
6.67,-0.06,-0.03,-0.07,0.09
6.69,-0.05,-0.01,-0.03,0.06
6.71,-0.06,0.0,-0.02,0.07
6.73,-0.02,0.02,-0.03,0.04
6.75,0.03,0.0,-0.04,0.05
6.77,0.03,-0.0,-0.08,0.08
6.789,0.03,0.0,-0.19,0.19
6.809,-0.0,-0.01,-0.08,0.08
6.829,-0.04,0.03,-0.0,0.05
6.849,-0.01,0.04,-0.02,0.05
6.869,0.03,0.04,-0.09,0.1
6.889,0.04,0.02,-0.11,0.12
6.909,-0.0,-0.0,-0.1,0.1
6.929,-0.02,-0.01,-0.07,0.08
6.949,-0.04,0.0,-0.1,0.11
6.969,-0.02,0.01,-0.08,0.08
6.989,0.0,-0.0,-0.08,0.08
7.009,0.0,0.0,-0.08,0.08
7.029,-0.02,-0.02,-0.04,0.05
7.049,-0.01,-0.01,-0.18,0.18
7.069,0.01,-0.04,0.07,0.08
7.089,-0.03,-0.0,-0.22,0.22
7.109,0.01,0.0,0.01,0.02
7.129,-0.04,0.05,0.09,0.11
7.149,0.02,0.11,-0.13,0.17
7.169,0.08,0.09,-0.23,0.26
7.189,0.02,-0.01,-0.14,0.14
7.209,-0.03,-0.06,-0.06,0.1
7.229,-0.06,-0.05,-0.03,0.08
7.249,-0.03,-0.02,-0.02,0.04
7.269,0.01,0.02,-0.02,0.03
7.289,0.05,0.02,-0.05,0.07
7.309,-0.01,0.01,-0.1,0.1
7.329,-0.02,-0.01,-0.2,0.21
7.349,-0.05,-0.04,-0.08,0.1
7.369,-0.07,-0.01,-0.0,0.07
7.389,-0.02,0.03,-0.0,0.04
7.409,0.0,0.04,-0.05,0.07
7.428,-0.0,0.03,-0.11,0.11
7.448,0.01,-0.0,-0.12,0.12
7.468,-0.0,-0.01,-0.08,0.08
7.488,0.0,-0.01,-0.06,0.06
7.508,-0.01,-0.02,-0.08,0.08
7.528,0.0,-0.01,-0.07,0.07
7.548,0.0,0.02,-0.06,0.06
7.568,-0.03,0.03,-0.07,0.08
7.588,-0.03,0.01,-0.01,0.03
7.608,-0.05,-0.01,-0.16,0.16
7.628,0.06,-0.03,-0.02,0.07
7.648,0.05,-0.05,-0.09,0.11
7.668,0.06,-0.01,-0.19,0.2
7.688,0.03,0.02,0.11,0.12
7.708,-0.02,0.09,-0.03,0.1
7.728,0.04,0.1,-0.2,0.22
7.748,0.05,0.05,-0.21,0.22
7.768,-0.05,-0.07,-0.08,0.12
7.788,-0.1,-0.09,-0.05,0.15
7.808,-0.07,-0.07,-0.01,0.1
7.828,-0.02,-0.03,-0.02,0.04
