time,ax,ay,az,atotal
2.356,-0.05,0.0,-0.03,0.06
2.376,0.0,-0.05,-0.08,0.09
2.396,-0.04,-0.03,-0.07,0.09
2.416,0.08,-0.08,-0.06,0.12
2.436,-0.02,-0.01,0.01,0.02
2.456,-0.0,-0.02,0.03,0.04
2.476,-0.02,-0.03,0.01,0.04
2.496,0.05,-0.07,-0.06,0.11
2.516,-0.02,0.02,-0.02,0.03
2.536,-0.0,-0.02,0.01,0.02
2.556,-0.04,-0.04,0.0,0.05
2.576,-0.03,-0.07,-0.04,0.09
2.596,0.0,-0.06,-0.02,0.06
2.616,-0.02,-0.05,-0.02,0.06
2.636,0.03,-0.04,0.03,0.06
2.656,-0.01,-0.03,0.01,0.03
2.676,0.05,-0.03,-0.04,0.07
2.696,-0.0,-0.01,-0.05,0.06
2.716,0.01,-0.01,-0.06,0.06
2.736,-0.02,-0.04,-0.02,0.05
2.756,0.04,-0.04,-0.02,0.06
2.776,-0.07,-0.03,-0.04,0.08
2.796,-0.01,-0.01,0.07,0.07
2.816,0.03,-0.06,0.03,0.07
2.836,0.01,-0.02,-0.07,0.08
2.856,-0.02,-0.01,-0.09,0.09
2.876,0.01,-0.01,-0.04,0.04
2.895,-0.01,-0.02,0.03,0.04
2.915,0.01,-0.04,0.0,0.04
2.935,-0.04,-0.02,-0.02,0.05
2.955,0.03,-0.03,-0.03,0.05
2.975,-0.05,-0.01,-0.05,0.07
2.995,0.04,-0.04,-0.02,0.06
3.015,0.01,-0.05,-0.0,0.05
3.035,-0.04,-0.05,-0.02,0.06
3.055,0.03,-0.01,-0.0,0.03
3.075,-0.01,-0.01,-0.0,0.02
3.095,0.01,-0.01,-0.05,0.05
3.115,0.04,-0.04,-0.08,0.09
3.135,-0.0,-0.0,-0.02,0.02
3.155,0.0,-0.05,-0.0,0.05
3.175,-0.05,-0.03,0.02,0.06
3.195,-0.02,-0.08,0.04,0.09
3.215,-0.0,-0.07,-0.0,0.07
3.235,0.03,-0.07,-0.04,0.09
3.255,-0.0,-0.01,-0.04,0.04
3.275,0.01,-0.0,-0.01,0.02
3.295,-0.0,-0.0,-0.01,0.01
3.315,0.0,-0.01,-0.02,0.02
3.335,0.03,-0.03,-0.03,0.05
3.355,-0.04,-0.03,-0.03,0.05
3.375,-0.01,-0.04,-0.02,0.05
3.395,-0.03,-0.05,-0.01,0.06
3.415,-0.02,-0.04,-0.0,0.04
3.435,0.01,-0.03,-0.0,0.03
3.455,0.02,-0.04,-0.02,0.05
3.475,0.02,-0.01,-0.04,0.04
3.494,-0.01,-0.0,-0.05,0.05
3.515,-0.03,-0.02,-0.05,0.06
3.534,-0.01,-0.04,-0.02,0.04
3.554,-0.04,-0.04,0.04,0.07
3.574,-0.0,-0.02,0.01,0.02
3.594,0.04,-0.05,-0.07,0.1
3.614,0.0,-0.02,-0.08,0.08
3.634,0.01,-0.03,-0.02,0.04
3.654,-0.02,-0.02,0.02,0.04
3.674,0.01,-0.03,0.03,0.04
