time,ax,ay,az,atotal
2.137,0.02,-0.01,-0.27,0.27
2.157,0.04,-0.0,-0.1,0.1
2.177,-0.01,0.01,-0.05,0.05
2.197,-0.13,0.13,-0.05,0.19
2.217,-0.06,0.06,-0.04,0.09
2.237,-0.05,0.01,-0.17,0.18
2.257,-0.08,-0.0,-0.16,0.17
2.277,-0.01,0.0,0.04,0.04
2.297,0.02,0.05,-0.04,0.07
2.316,0.04,0.05,-0.18,0.19
2.336,0.02,-0.01,-0.06,0.07
2.356,0.02,-0.03,0.03,0.04
2.376,0.05,-0.02,-0.02,0.05
2.396,-0.04,0.07,-0.08,0.11
2.416,-0.09,0.0,-0.19,0.21
2.436,-0.05,-0.02,-0.08,0.1
2.456,-0.02,-0.13,-0.03,0.13
2.476,-0.0,0.02,0.01,0.02
2.496,0.07,0.0,-0.03,0.07
2.516,0.02,0.01,-0.01,0.03
2.536,0.05,0.03,-0.07,0.09
2.556,0.01,-0.0,-0.12,0.12
2.576,0.05,-0.06,-0.19,0.2
2.596,0.03,-0.06,0.01,0.07
2.616,0.01,-0.08,0.01,0.08
2.636,-0.0,-0.08,-0.17,0.19
2.656,0.04,-0.04,-0.23,0.23
2.676,0.06,-0.08,-0.08,0.13
2.696,0.01,-0.02,-0.02,0.03
2.716,-0.04,-0.02,-0.02,0.05
2.736,-0.08,-0.0,0.02,0.08
2.756,-0.11,-0.02,0.06,0.13
2.776,-0.17,0.04,0.02,0.18
2.796,-0.07,-0.05,0.1,0.13
2.816,-0.02,-0.05,0.1,0.12
2.836,-0.03,-0.0,-0.05,0.06
2.856,-0.01,-0.02,-0.04,0.04
2.876,0.03,0.0,0.07,0.08
2.896,0.02,0.01,-0.05,0.05
2.916,0.11,-0.01,0.01,0.11
2.936,0.02,-0.04,0.07,0.08
2.956,0.0,0.04,0.0,0.04
2.976,-0.02,-0.06,-0.03,0.07
2.995,-0.03,-0.02,0.1,0.11
3.015,-0.07,0.04,-0.01,0.08
3.035,0.01,0.02,-0.08,0.09
3.055,-0.01,-0.0,0.01,0.01
3.075,-0.01,-0.06,0.0,0.06
3.095,-0.03,-0.0,-0.0,0.03
3.115,0.0,0.05,0.02,0.05
3.135,0.04,0.03,0.0,0.05
3.155,0.06,0.02,0.05,0.08
3.175,0.0,-0.0,0.03,0.03
3.195,-0.01,-0.02,-0.06,0.06
3.215,0.03,0.02,-0.1,0.11
3.235,0.05,-0.03,-0.02,0.06
3.255,0.01,-0.02,-0.01,0.03
3.275,0.07,-0.01,-0.05,0.09
3.295,0.09,-0.02,-0.14,0.17
3.315,0.03,-0.03,-0.06,0.07
3.335,0.03,0.0,-0.01,0.03
3.355,0.01,0.01,-0.03,0.04
3.375,-0.04,0.03,-0.08,0.09
3.395,-0.03,-0.04,0.08,0.1
3.415,-0.03,0.02,-0.02,0.04
3.435,-0.04,0.01,-0.1,0.1
3.455,-0.08,0.04,0.0,0.09
3.475,-0.01,0.01,0.04,0.04
3.495,0.0,-0.03,0.08,0.09
3.515,0.03,-0.0,0.02,0.04
3.535,0.02,-0.0,-0.03,0.04
3.555,-0.02,-0.01,0.06,0.06
3.574,-0.13,-0.0,-0.0,0.13
3.595,-0.07,-0.03,-0.05,0.1
3.615,-0.06,-0.01,-0.01,0.06
3.635,-0.05,-0.01,0.04,0.06
3.654,-0.01,0.03,-0.06,0.07
3.675,0.03,-0.01,-0.05,0.06
3.694,0.02,-0.04,-0.07,0.09
3.714,0.04,-0.07,0.02,0.08
3.734,0.06,0.0,0.01,0.06
3.754,0.02,-0.04,-0.06,0.07
3.774,-0.0,0.0,0.02,0.02
3.794,-0.0,-0.04,-0.02,0.05
3.814,-0.02,0.01,-0.02,0.03
3.834,-0.01,-0.0,0.01,0.02
3.854,0.01,-0.04,0.05,0.06
3.874,0.01,0.03,0.08,0.09
3.894,0.01,0.01,0.01,0.01
3.914,0.05,0.02,-0.06,0.08
3.934,0.02,-0.03,0.04,0.05
3.954,-0.02,0.02,0.03,0.04
3.974,-0.08,-0.04,-0.01,0.08
3.994,-0.01,-0.02,0.05,0.06
4.012,-0.01,-0.03,-0.05,0.06
4.032,0.01,0.02,-0.09,0.1
4.052,0.05,-0.02,0.01,0.05
4.072,0.03,-0.0,0.07,0.07
4.092,0.08,-0.0,0.04,0.09
4.113,0.02,-0.07,-0.13,0.15
4.132,0.05,0.07,-0.02,0.09
4.152,-0.04,-0.06,0.06,0.09
4.172,-0.0,-0.0,-0.01,0.01
4.192,-0.1,0.01,-0.06,0.11
4.212,-0.04,-0.06,0.01,0.07
4.232,-0.01,0.01,-0.05,0.05
4.252,-0.03,-0.03,0.0,0.04
4.272,0.0,-0.02,-0.0,0.02
4.292,0.02,-0.02,-0.02,0.03
4.312,0.02,0.01,-0.08,0.08
4.332,0.04,-0.05,0.01,0.06
4.352,-0.01,-0.04,0.03,0.05
4.372,-0.02,-0.04,0.01,0.05
4.392,-0.01,0.01,0.01,0.02
4.412,-0.02,-0.02,-0.02,0.03
4.432,-0.0,-0.0,0.01,0.01
4.452,-0.0,0.0,0.05,0.05
4.472,0.02,-0.03,-0.01,0.04
4.492,0.02,0.02,-0.02,0.04
