time,ax,ay,az,atotal
2.396,0.29,-0.71,0.64,1.0
2.416,-0.22,-0.46,0.71,0.87
2.436,-0.64,0.04,0.96,1.15
2.456,-0.81,0.16,1.22,1.47
2.477,-0.61,0.09,1.0,1.17
2.497,-0.2,-0.09,0.73,0.76
2.516,0.22,0.05,0.78,0.81
2.536,0.66,0.52,1.1,1.38
2.556,0.97,1.1,1.18,1.88
2.576,1.32,1.09,1.22,2.1
2.596,1.39,0.52,1.23,1.93
2.616,1.08,1.14,0.73,1.73
2.636,0.46,1.94,0.43,2.04
2.656,0.1,1.23,0.31,1.27
2.676,-0.07,0.59,-0.43,0.73
2.696,-0.19,0.51,-0.95,1.09
2.716,-0.5,0.76,-0.98,1.33
2.736,-0.69,0.43,-1.25,1.49
2.756,-0.66,-0.34,-1.69,1.85
2.776,-0.59,-0.98,-1.86,2.18
2.796,-0.58,-1.29,-1.68,2.2
2.816,-0.78,-0.86,-1.47,1.87
2.836,-1.19,-0.03,-0.88,1.48
2.855,-1.53,0.32,0.12,1.57
2.876,-1.67,0.11,0.33,1.71
2.896,-1.19,-0.21,-0.03,1.21
2.915,-0.2,-0.21,-0.06,0.29
2.936,0.59,-0.4,-0.13,0.72
2.955,0.93,-0.74,-0.53,1.3
2.975,0.93,-1.01,-0.84,1.61
2.995,0.72,-0.96,-0.7,1.39
3.017,0.65,-0.58,-0.19,0.89
3.035,0.09,-0.24,0.55,0.61
3.055,-0.96,0.11,1.15,1.5
3.075,-1.85,0.06,1.1,2.15
3.095,-1.95,-0.27,0.62,2.07
3.115,-1.61,-0.47,0.39,1.73
3.135,-1.06,-0.38,0.5,1.23
3.155,-0.4,-0.48,0.49,0.79
3.175,0.04,-0.33,0.33,0.47
3.195,0.3,0.04,0.43,0.53
3.215,0.17,0.24,0.55,0.62
3.235,-0.14,0.12,0.7,0.73
3.255,-0.38,-0.2,0.65,0.78
3.275,-0.75,-0.17,0.57,0.96
3.295,-1.27,0.72,0.51,1.55
3.315,-1.66,1.92,0.59,2.6
3.335,-1.41,1.69,0.67,2.3
3.355,-1.0,1.24,0.01,1.59
3.375,-0.33,1.31,-0.45,1.43
3.395,0.21,0.94,-0.66,1.17
3.415,0.37,0.41,-0.95,1.1
3.435,0.32,-0.3,-1.28,1.36
3.455,0.23,-0.77,-1.57,1.76
3.475,0.07,-0.84,-1.67,1.87
3.495,-0.1,-0.69,-1.6,1.74
3.515,-0.24,-0.22,-1.53,1.57
3.535,-0.09,0.6,-1.08,1.24
3.554,0.27,1.06,-0.55,1.22
3.574,0.66,1.12,-0.55,1.41
3.594,0.93,0.89,-0.79,1.51
3.615,1.01,0.56,-0.98,1.51
3.635,0.77,0.08,-0.94,1.22
3.654,0.57,-0.16,-0.75,0.95
3.674,0.22,-0.35,-0.39,0.56
3.694,-0.32,-0.65,-0.27,0.77
3.714,-0.76,-0.86,-0.32,1.19
3.734,-0.9,-0.86,-0.5,1.34
3.754,-0.63,-0.69,-0.54,1.08
3.774,-0.01,-0.45,-0.25,0.51
3.794,0.75,-0.09,0.02,0.76
3.814,1.16,0.01,-0.03,1.16
3.834,1.12,-0.32,-0.2,1.18
3.854,1.03,-0.63,-0.22,1.23
3.874,0.99,-0.78,-0.17,1.27
3.894,1.0,-0.72,-0.02,1.23
3.914,0.64,-0.65,0.14,0.92
3.934,-0.04,-0.63,0.36,0.73
3.954,-0.62,-0.28,0.5,0.84
3.974,-0.87,0.21,0.5,1.02
3.994,-0.72,0.37,0.41,0.91
4.014,-0.28,0.22,0.58,0.68
4.034,0.41,0.09,0.84,0.94
4.054,1.05,-0.12,0.85,1.35
4.073,1.4,-0.31,0.72,1.61
4.094,1.49,-0.5,0.65,1.7
4.114,1.17,-0.57,0.74,1.5
4.133,0.56,-0.4,0.9,1.13
4.153,-0.05,0.26,0.89,0.93
4.173,-0.46,0.8,0.93,1.31
4.194,-0.51,1.06,0.84,1.45
4.213,-0.27,1.9,0.47,1.97
4.233,0.22,2.28,0.34,2.32
4.253,0.65,1.6,0.2,1.74
4.273,0.83,1.28,-0.19,1.54
4.293,0.82,1.11,-0.81,1.6
4.313,0.6,0.59,-1.2,1.46
4.333,0.16,0.06,-1.19,1.2
4.353,-0.09,-0.42,-1.07,1.15
4.373,-0.06,-0.89,-1.0,1.34
4.393,0.0,-1.16,-0.99,1.53
4.413,-0.08,-1.08,-1.1,1.54
4.433,-0.28,-0.69,-1.22,1.43
4.453,-0.62,-0.28,-1.09,1.28
4.473,-1.11,-0.04,-0.84,1.39
4.493,-1.49,0.33,-0.69,1.68
4.513,-1.54,0.62,-0.47,1.73
4.533,-1.28,0.59,-0.25,1.43
4.553,-0.84,0.22,-0.31,0.93
4.573,-0.19,-0.14,-0.28,0.37
4.593,0.28,-0.38,-0.11,0.48
4.613,0.38,-0.58,-0.03,0.7
