time,ax,ay,az,atotal
1.737,-0.05,0.47,0.59,0.75
1.757,-0.09,0.44,0.68,0.82
1.777,-0.14,0.5,0.84,0.99
1.797,-0.29,0.56,0.46,0.78
1.817,-0.44,0.77,0.26,0.92
1.837,-0.57,0.97,-0.12,1.13
1.857,-0.28,0.97,-0.56,1.16
1.877,-0.04,0.69,-0.66,0.95
1.897,0.21,0.34,-0.74,0.84
1.917,0.42,0.14,-0.91,1.02
1.937,0.65,-0.1,-1.01,1.21
1.957,0.7,-0.38,-1.01,1.28
1.977,0.73,-0.34,-0.97,1.26
1.997,0.72,-0.2,-0.99,1.24
2.017,0.81,-0.1,-0.86,1.19
2.037,0.83,0.12,-0.75,1.13
2.057,0.83,0.26,-0.48,0.99
2.077,0.8,0.38,-0.3,0.94
2.097,0.81,0.44,-0.18,0.94
2.117,0.85,0.5,-0.16,1.0
2.137,0.74,0.43,-0.26,0.89
2.157,0.61,0.5,-0.18,0.81
2.177,0.71,0.28,-0.45,0.89
2.197,0.58,-0.03,-0.29,0.65
2.217,0.52,-0.4,-0.02,0.65
2.237,0.4,-0.4,0.14,0.58
2.257,0.38,-0.37,0.16,0.55
2.276,0.43,-0.44,-0.03,0.61
2.297,0.44,-0.39,0.02,0.59
2.316,0.46,-0.37,0.07,0.6
2.336,0.51,-0.24,0.12,0.58
2.356,0.47,-0.09,-0.01,0.48
2.376,0.39,-0.03,-0.17,0.43
2.396,0.42,-0.11,-0.23,0.49
2.416,0.39,-0.15,0.03,0.42
2.436,0.31,-0.01,0.29,0.43
2.456,0.24,0.42,0.49,0.69
2.476,0.24,0.76,0.4,0.89
2.496,0.4,0.6,0.43,0.84
2.516,0.31,0.21,0.3,0.48
2.536,0.23,0.07,0.53,0.58
2.556,0.17,0.1,0.37,0.42
2.576,0.24,0.02,-0.01,0.25
2.596,0.24,0.03,-0.03,0.25
2.616,0.2,-0.0,-0.21,0.29
2.636,0.18,0.18,-0.44,0.51
2.656,0.08,0.32,-0.53,0.62
2.676,-0.07,0.46,-0.81,0.93
2.696,-0.27,0.5,-1.01,1.16
2.716,-0.3,0.36,-1.09,1.19
2.736,-0.34,0.15,-0.95,1.02
2.756,-0.22,0.43,-0.81,0.95
2.776,-0.15,0.54,-0.88,1.05
2.796,-0.26,0.38,-1.01,1.1
2.816,-0.43,0.26,-1.12,1.22
2.836,-0.65,0.05,-0.85,1.07
2.855,-0.78,-0.01,-0.35,0.86
2.876,-0.79,0.1,-0.19,0.82
2.895,-0.86,0.33,-0.48,1.04
2.915,-0.83,0.47,-0.56,1.11
2.935,-0.79,0.5,-0.66,1.15
2.955,-0.63,0.35,-0.74,1.03
2.975,-0.35,-0.01,-0.82,0.89
2.995,-0.29,-0.4,-0.75,0.9
3.015,-0.26,-0.69,-0.74,1.05
3.035,-0.29,-0.98,-0.86,1.33
3.055,-0.29,-1.11,-0.99,1.51
3.075,-0.28,-0.99,-0.94,1.39
3.095,-0.23,-0.84,-0.69,1.11
3.115,-0.24,-0.81,-0.57,1.02
3.135,-0.15,-0.69,-0.53,0.89
3.155,-0.04,-0.63,-0.77,0.99
3.175,-0.12,-0.68,-0.8,1.06
3.195,-0.12,-0.85,-0.79,1.17
3.215,-0.18,-1.12,-0.78,1.38
3.235,-0.27,-1.19,-0.66,1.38
3.255,-0.28,-1.17,-0.52,1.31
3.275,-0.23,-1.09,-0.49,1.22
3.295,-0.26,-1.07,-0.72,1.32
3.315,-0.26,-0.98,-0.48,1.13
3.335,-0.39,-0.81,-0.01,0.9
3.355,-0.43,-0.6,0.32,0.81
3.375,-0.57,-0.27,0.15,0.65
3.395,-0.66,0.05,-0.32,0.73
3.415,-0.62,0.36,-0.05,0.72
3.435,-0.67,1.06,0.75,1.46
3.455,-0.42,1.56,1.22,2.02
3.475,-0.12,2.12,0.94,2.32
3.495,0.01,2.13,-0.09,2.13
3.515,0.08,1.56,-0.42,1.62
3.535,0.07,1.42,0.79,1.62
3.555,-0.14,1.76,0.89,1.98
3.575,-0.41,1.88,0.38,1.97
3.594,-0.34,1.75,-0.38,1.82
3.614,0.02,1.36,-1.12,1.76
3.634,0.41,0.88,-0.87,1.3
3.654,0.82,0.14,-0.53,0.99
3.674,0.84,-0.06,0.39,0.93
3.694,0.63,0.48,0.61,1.0
3.714,0.63,0.74,-0.29,1.01
3.734,0.49,1.24,-0.88,1.6
3.754,0.3,1.21,-0.86,1.52
3.774,0.15,1.1,-0.6,1.26
3.794,0.41,0.62,-0.38,0.84
3.814,0.63,0.38,-0.05,0.74
3.834,0.77,0.25,-0.01,0.81
3.854,0.77,0.15,-0.5,0.93
3.874,0.59,-0.14,-0.37,0.71
3.894,0.48,-0.23,-0.33,0.63
3.914,0.29,-0.3,-0.54,0.68
3.934,0.16,-0.46,-0.14,0.51
3.954,-0.01,-0.39,0.06,0.4
3.974,0.17,-0.36,-0.18,0.44
3.994,0.23,-0.29,-0.39,0.53
4.015,0.11,-0.71,-0.58,0.92
4.034,0.03,-0.67,-0.37,0.76
4.054,-0.02,-0.8,-0.57,0.98
4.074,0.05,-0.64,-0.1,0.65
4.094,0.38,-0.59,-0.46,0.84
4.114,0.46,-0.72,-0.63,1.06
4.134,0.56,-1.0,-0.5,1.25
4.154,0.51,-1.0,-0.6,1.28
4.174,0.59,-0.93,-0.66,1.29
4.193,0.53,-1.02,-1.09,1.58
4.213,0.46,-1.31,-1.37,1.95
4.234,0.45,-1.81,-1.34,2.3
4.253,0.51,-1.91,-0.38,2.01
4.273,0.63,-1.67,0.27,1.81
4.293,0.61,-0.82,0.14,1.03
4.313,0.54,-0.31,-0.49,0.79
4.333,0.24,0.0,-0.1,0.26
4.353,-0.08,0.42,0.7,0.82
4.373,-0.08,1.0,1.03,1.44
4.393,0.13,1.61,1.39,2.13
4.414,0.24,1.81,1.67,2.47
4.434,0.12,2.1,1.05,2.35
4.454,-0.02,1.81,-0.19,1.82
4.474,-0.36,1.5,-0.6,1.65
4.494,-0.52,0.94,-0.07,1.07
4.514,-0.52,0.62,1.24,1.48
4.534,-0.38,1.23,1.4,1.9
4.554,-0.33,1.6,0.5,1.71
4.574,-0.5,1.33,-0.53,1.52
4.594,-0.93,1.01,-0.82,1.6
4.614,-1.06,0.76,-0.53,1.4
4.634,-0.74,0.48,-0.06,0.88
4.654,-0.5,0.85,-0.02,0.99
4.674,-0.3,0.71,-0.21,0.79
4.694,-0.22,0.28,-0.15,0.38
4.714,-0.29,0.11,-0.29,0.42
4.734,-0.4,0.2,-0.49,0.66
4.754,-0.37,0.0,-0.46,0.59
4.774,-0.36,-0.19,0.17,0.43
4.794,-0.29,-0.37,0.0,0.47
4.814,-0.17,-0.37,-0.51,0.65
4.834,-0.21,-0.47,-0.34,0.62
4.854,-0.19,-0.82,-0.1,0.85
4.874,-0.18,-1.12,-0.31,1.18
4.894,-0.2,-1.19,-0.25,1.24
4.914,-0.25,-1.23,-0.43,1.33
4.934,-0.29,-0.98,-0.6,1.18
4.953,-0.47,-0.98,-0.62,1.25
4.974,-0.41,-1.0,-0.85,1.38
4.994,-0.43,-0.83,-1.04,1.4
5.014,-0.58,-0.97,-1.23,1.67
5.034,-0.48,-1.46,-1.65,2.26
5.053,-0.35,-1.94,-1.37,2.4
5.073,-0.29,-2.17,-0.56,2.26
5.093,-0.3,-1.69,0.06,1.72
5.113,-0.41,-0.94,-0.08,1.03
5.133,-0.45,-0.35,-0.14,0.59
5.153,-0.38,0.02,0.22,0.44
5.173,-0.29,0.45,0.52,0.75
5.193,-0.22,0.89,0.44,1.01
5.213,-0.29,0.78,0.58,1.01
5.233,-0.34,0.28,0.79,0.9
5.253,-0.2,0.17,0.77,0.82
5.273,-0.13,0.08,1.01,1.03
5.293,0.05,0.36,1.15,1.2
5.313,0.24,0.85,0.64,1.09
5.333,0.32,1.1,-0.15,1.16
5.353,0.29,0.99,-0.65,1.22
5.373,0.3,0.71,-0.39,0.86
5.393,0.31,0.6,0.15,0.69
5.413,0.27,0.64,0.22,0.73
5.433,0.28,0.78,-0.47,0.95
5.453,0.16,0.92,-0.45,1.04
5.473,0.28,0.87,-0.18,0.93
5.493,0.26,1.19,0.36,1.28
5.513,0.35,1.8,0.57,1.92
5.533,0.25,2.52,0.19,2.53
5.553,0.19,2.28,-0.4,2.32
5.572,-0.04,1.67,-0.22,1.68
5.593,-0.21,1.09,0.15,1.13
5.613,-0.22,0.56,0.49,0.78
5.633,-0.17,0.22,0.61,0.67
5.652,-0.21,0.1,0.49,0.54
5.672,-0.22,0.13,0.16,0.3
5.692,-0.28,0.05,-0.28,0.4
5.712,-0.3,-0.21,-0.36,0.51
5.733,-0.1,-0.48,-0.2,0.53
5.753,0.15,-0.75,-0.22,0.79
5.772,0.37,-0.88,-0.34,1.01
5.792,0.5,-0.93,-0.45,1.15
5.812,0.46,-0.92,-0.72,1.26
5.832,0.35,-0.91,-0.61,1.16
5.852,0.35,-0.91,-0.49,1.09
5.872,0.32,-0.97,-0.44,1.11
5.892,0.27,-0.81,-0.58,1.03
5.912,0.3,-0.87,-0.75,1.19
5.932,0.36,-1.01,-0.54,1.2
5.952,0.37,-1.1,-0.31,1.2
5.972,0.39,-1.22,-0.25,1.31
5.992,0.39,-1.29,-0.56,1.46
6.012,0.33,-1.43,-0.85,1.69
6.032,0.34,-1.51,-0.72,1.7
6.052,0.39,-1.51,-0.38,1.6
6.072,0.54,-1.29,-0.16,1.41
6.092,0.56,-1.04,-0.22,1.2
6.112,0.5,-0.7,-0.17,0.87
6.132,0.31,-0.52,0.13,0.62
6.152,0.09,-0.27,0.23,0.37
6.172,0.03,-0.17,0.26,0.31
6.192,0.11,0.14,0.63,0.66
6.212,0.12,0.55,0.52,0.76
6.232,-0.0,0.93,0.99,1.36
6.252,-0.13,1.38,1.41,1.97
6.272,-0.22,1.72,1.15,2.08
6.291,-0.26,2.15,0.55,2.24
6.312,-0.2,2.19,-0.34,2.23
6.331,-0.14,2.0,-0.66,2.11
6.351,0.04,1.43,-0.11,1.44
6.371,-0.1,0.95,0.68,1.18
6.391,-0.26,0.77,0.45,0.93
6.411,-0.43,0.92,-0.3,1.06
6.431,-0.5,0.93,-0.33,1.11
6.451,-0.5,1.11,-0.04,1.22
6.471,-0.55,1.37,-0.05,1.47
6.491,-0.58,1.48,0.0,1.59
6.511,-0.71,1.44,0.03,1.61
6.531,-0.91,1.17,0.09,1.49
6.551,-0.73,0.61,-0.28,1.0
6.571,-0.45,0.14,-0.81,0.94
6.591,-0.2,-0.46,-0.79,0.93
6.611,-0.09,-0.92,-0.24,0.96
6.631,-0.09,-1.03,-0.11,1.04
6.651,-0.01,-0.79,-0.29,0.85
6.671,0.01,-0.55,-0.41,0.68
6.691,0.05,-0.46,-0.58,0.74
6.711,-0.1,-0.49,-0.65,0.82
6.731,-0.3,-0.65,-0.83,1.1
6.751,-0.39,-0.61,-0.65,0.97
6.771,-0.42,-0.75,-0.78,1.16
6.791,-0.41,-0.74,-0.78,1.16
6.811,-0.46,-0.8,-0.53,1.06
6.831,-0.47,-0.79,-0.49,1.04
6.851,-0.57,-0.83,-0.45,1.11
6.871,-0.56,-0.83,-0.17,1.02
6.891,-0.58,-0.7,-0.26,0.95
6.91,-0.51,-0.53,-0.49,0.89
6.931,-0.36,-0.5,-0.76,0.98
6.95,-0.43,-0.6,-0.87,1.14
6.971,-0.44,-0.84,-0.09,0.95
6.99,-0.34,-0.83,0.41,0.99
7.01,-0.21,-0.6,0.16,0.66
7.03,0.04,-0.48,0.08,0.49
7.05,0.06,-0.15,0.12,0.2
7.07,-0.08,0.01,-0.01,0.08
7.09,-0.13,-0.02,-0.18,0.22
7.11,-0.27,-0.08,0.08,0.29
7.13,-0.25,0.15,0.62,0.69
7.15,-0.04,0.79,1.16,1.41
7.17,0.07,1.72,1.16,2.08
7.19,-0.1,2.34,0.6,2.42
7.21,-0.06,2.09,0.12,2.09
7.23,-0.08,1.59,0.22,1.61
7.25,-0.02,0.84,0.25,0.88
7.27,0.09,0.51,0.22,0.56
7.29,0.03,-0.11,-0.32,0.34
7.31,-0.18,-0.27,-0.76,0.82
7.33,-0.24,-0.45,-1.09,1.2
7.35,-0.16,-0.28,-1.22,1.26
7.37,0.23,0.1,-1.06,1.09
7.39,0.61,0.41,-0.5,0.89
7.41,0.91,0.58,-0.24,1.1
7.43,0.54,0.77,-0.0,0.95
7.45,0.29,0.86,0.29,0.95
7.47,0.15,1.04,0.28,1.09
7.49,-0.19,1.67,0.11,1.69
7.51,-0.13,2.15,-0.03,2.16
7.53,0.27,2.03,-0.43,2.09
7.55,0.55,1.44,-0.83,1.75
7.57,0.57,0.44,-0.47,0.86
7.589,0.54,-0.37,-0.38,0.76
7.609,0.5,-1.05,-0.21,1.18
7.629,0.35,-1.03,0.04,1.09
7.649,0.2,-0.66,0.01,0.69
7.669,0.1,-0.14,-0.19,0.25
7.689,0.07,0.33,-0.38,0.51
7.709,0.09,0.41,-0.53,0.68
7.729,0.18,0.47,-0.36,0.62
7.749,0.16,0.07,-0.18,0.25
7.769,0.19,-0.17,0.06,0.26
7.789,0.24,-0.29,-0.13,0.39
7.809,0.25,-0.3,-0.32,0.5
7.829,0.21,-0.29,-0.21,0.42
7.849,0.1,-0.26,-0.09,0.3
7.869,0.01,-0.17,-0.17,0.24
7.889,0.02,-0.14,-0.12,0.18
7.909,0.14,-0.29,-0.57,0.66
7.929,0.23,-0.58,-0.9,1.1
7.949,0.48,-1.13,-0.86,1.5
7.969,0.53,-1.56,-0.41,1.7
7.989,0.62,-1.67,0.09,1.79
8.009,0.58,-1.26,0.45,1.45
8.028,0.41,-0.78,-0.13,0.88
8.047,0.32,-0.51,-0.47,0.76
8.068,0.2,-0.11,-0.64,0.68
8.088,0.2,0.08,-0.37,0.43
8.107,0.08,-0.04,0.35,0.36
8.127,0.1,-0.23,0.71,0.75
8.147,0.1,-0.36,0.35,0.51
8.167,0.13,-0.48,0.22,0.55
8.187,0.13,-0.48,0.03,0.5
8.207,0.22,-0.64,-0.02,0.68
8.227,0.28,-0.82,0.03,0.87
8.247,0.33,-0.98,0.04,1.03
8.267,0.32,-0.86,-0.15,0.93
8.287,0.36,-0.85,-0.06,0.93
8.307,0.19,-0.59,-0.18,0.64
8.327,0.23,-0.27,-0.11,0.38
8.347,0.07,0.36,0.85,0.92
8.367,-0.06,1.29,1.07,1.68
8.387,-0.01,2.31,1.23,2.61
8.408,0.19,2.87,0.83,2.99
8.428,0.26,2.6,-0.17,2.61
8.448,0.16,1.7,-1.0,1.98
8.468,0.09,0.63,-1.12,1.28
8.488,0.0,-0.05,-0.44,0.44
8.508,-0.18,-0.41,-0.42,0.61
8.528,-0.15,-0.49,-0.49,0.71
8.548,-0.23,-0.15,-0.55,0.62
8.568,-0.38,0.44,-0.34,0.67
8.588,-0.45,0.91,-0.48,1.12
8.608,-0.63,1.56,-0.81,1.87
8.628,-0.82,1.76,-1.04,2.21
8.648,-0.85,1.29,-1.05,1.87
8.668,-0.82,0.66,-0.6,1.21
8.688,-0.61,0.23,0.15,0.67
8.708,-0.25,0.04,0.44,0.51
8.728,-0.13,0.22,0.3,0.4
8.748,-0.31,0.69,0.38,0.84
8.768,-0.46,0.9,-0.19,1.03
8.788,-0.76,0.77,-0.82,1.35
8.808,-0.74,0.47,-0.96,1.3
8.828,-0.64,-0.09,-0.36,0.74
8.847,-0.38,-0.56,0.23,0.71
8.867,-0.16,-0.78,0.43,0.91
8.888,0.0,-0.73,-0.0,0.73
8.907,0.06,-0.64,-0.13,0.66
8.927,-0.11,-0.46,-0.15,0.49
8.947,-0.24,-0.15,-0.04,0.29
8.967,-0.28,-0.05,0.14,0.32
8.987,-0.31,0.25,0.28,0.49
9.007,-0.24,0.14,0.34,0.44
9.027,-0.26,0.17,0.28,0.42
9.047,-0.2,0.19,0.15,0.32
9.067,-0.24,-0.04,0.02,0.24
9.087,-0.17,-0.19,0.05,0.26
9.107,-0.21,-0.43,0.23,0.53
9.127,-0.18,-0.45,0.35,0.6
9.147,-0.14,-0.41,0.13,0.46
9.167,-0.13,-0.24,-0.04,0.27
9.187,-0.11,-0.19,-0.2,0.3
9.207,-0.12,-0.18,-0.38,0.44
9.227,-0.25,-0.44,-0.44,0.67
9.247,-0.32,-0.62,-0.72,1.0
9.267,-0.26,-0.72,-0.84,1.13
9.287,-0.05,-0.75,-0.77,1.07
9.307,0.05,-0.59,-0.6,0.85
9.327,0.23,-0.61,-0.63,0.91
9.347,0.12,-0.77,-0.55,0.95
9.367,-0.09,-0.87,-0.45,0.98
9.387,-0.16,-0.88,-0.21,0.92
9.407,-0.3,-0.61,-0.21,0.71
9.427,-0.31,-0.5,-0.18,0.62
9.447,-0.24,-0.39,0.12,0.47
9.467,-0.2,-0.24,0.31,0.44
9.487,-0.13,-0.17,0.34,0.4
9.507,-0.09,-0.04,0.34,0.35
9.526,-0.26,0.24,0.45,0.57
9.546,-0.4,0.44,0.29,0.67
9.566,-0.31,0.44,0.11,0.55
9.586,-0.18,0.41,0.18,0.48
9.606,-0.09,0.15,0.47,0.5
9.626,-0.08,-0.06,0.3,0.32
9.646,-0.05,-0.34,0.04,0.35
9.666,0.03,-0.66,0.09,0.67
9.686,0.14,-0.87,0.13,0.89
9.706,0.1,-0.81,0.35,0.89
9.726,0.04,-0.46,0.36,0.58
9.746,-0.06,-0.34,0.27,0.43
9.766,-0.14,-0.19,0.17,0.29
9.786,-0.17,0.0,0.31,0.35
9.806,-0.2,0.24,0.44,0.54
9.826,-0.14,0.32,0.38,0.51
9.846,-0.1,0.28,0.23,0.38
9.866,-0.17,0.43,0.12,0.48
9.886,-0.18,0.64,-0.15,0.68
9.906,-0.1,0.44,-0.26,0.52
9.926,-0.02,0.44,-0.17,0.48
9.946,0.11,0.22,0.1,0.27
9.966,0.06,0.32,-0.06,0.33
9.986,0.02,0.56,-0.45,0.72
10.006,-0.11,0.69,-0.76,1.03
10.026,-0.06,0.71,-0.46,0.85
10.046,0.27,0.79,0.13,0.84
10.066,0.52,1.25,0.27,1.38
10.086,0.44,1.72,-0.24,1.79
10.106,0.42,1.85,-0.31,1.92
10.126,0.41,1.54,-0.02,1.59
10.146,0.62,1.21,0.23,1.38
10.166,0.79,0.77,0.59,1.25
10.186,0.8,0.54,0.61,1.15
10.205,0.72,0.43,0.39,0.92
10.225,0.62,0.45,-0.02,0.76
10.245,0.48,0.33,-0.56,0.81
10.265,0.43,-0.07,-0.77,0.88
10.285,0.42,-0.48,-0.62,0.9
10.305,0.41,-0.8,-0.52,1.03
10.325,0.39,-0.9,-0.79,1.26
10.345,0.38,-0.84,-0.78,1.21
10.365,0.36,-0.67,-0.45,0.88
10.385,0.37,-0.34,-0.2,0.54
10.405,0.38,-0.16,-0.28,0.5
10.425,0.37,0.03,-0.36,0.52
10.445,0.35,0.25,-0.14,0.45
10.465,0.38,0.28,-0.06,0.48
10.485,0.45,0.17,-0.16,0.51
10.505,0.43,-0.1,-0.12,0.46
10.525,0.39,-0.28,0.18,0.51
10.545,0.29,-0.25,0.11,0.39
10.565,0.23,-0.25,-0.07,0.35
10.585,0.22,-0.14,-0.11,0.28
10.605,0.18,-0.16,-0.17,0.29
10.625,0.21,-0.31,-0.17,0.41
10.645,0.18,-0.47,-0.27,0.57
10.665,0.2,-0.75,-0.25,0.81
10.685,0.09,-0.91,-0.36,0.98
10.705,0.13,-1.07,-0.61,1.24
10.725,0.21,-1.2,-0.49,1.31
10.745,0.26,-1.14,-0.43,1.24
10.765,0.34,-0.94,-0.72,1.23
10.784,0.37,-0.93,-1.23,1.59
10.805,0.33,-1.09,-1.33,1.75
10.824,0.36,-1.44,-0.95,1.76
10.844,0.43,-1.5,-0.54,1.65
10.864,0.5,-1.49,-0.45,1.63
10.884,0.6,-1.34,-0.75,1.65
10.904,0.67,-1.21,-0.96,1.69
10.924,0.73,-1.27,-0.89,1.71
10.944,0.54,-1.21,-0.38,1.37
10.964,0.4,-1.16,0.01,1.23
10.984,0.2,-0.75,0.76,1.08
11.004,-0.13,0.72,1.94,2.07
11.024,-0.17,2.12,1.06,2.37
11.044,0.34,3.18,0.0,3.2
11.064,0.65,3.19,0.46,3.28
11.084,0.15,2.49,0.62,2.57
11.104,-0.11,2.67,0.96,2.84
11.124,-0.48,2.49,0.79,2.66
11.144,-0.53,2.14,0.32,2.23
11.164,-0.71,1.85,0.38,2.02
11.184,-0.7,1.79,0.09,1.92
11.204,-0.95,1.76,-0.38,2.03
11.224,-1.11,1.39,-0.28,1.8
11.244,-0.99,0.93,0.14,1.36
11.264,-0.74,0.52,0.28,0.95
11.284,-0.26,0.21,0.31,0.46
11.304,0.06,0.13,0.05,0.15
11.324,0.33,0.13,0.1,0.37
11.344,0.17,0.17,-0.12,0.27
11.364,-0.03,0.1,-0.39,0.4
11.384,-0.16,-0.09,-0.36,0.4
11.404,-0.27,-0.17,-0.23,0.4
11.423,-0.35,-0.22,-0.33,0.53
11.443,-0.31,-0.32,-0.24,0.51
11.464,-0.33,-0.24,-0.15,0.43
11.483,-0.36,-0.08,-0.25,0.44
11.503,-0.42,-0.09,-0.32,0.54
11.523,-0.54,-0.12,-0.27,0.62
11.543,-0.63,-0.12,-0.16,0.66
11.563,-0.63,-0.19,-0.3,0.72
11.583,-0.44,-0.12,-0.32,0.56
11.603,-0.38,-0.18,-0.2,0.47
11.623,-0.26,-0.11,0.06,0.29
11.643,-0.13,-0.08,-0.07,0.16
11.663,-0.02,-0.01,-0.24,0.24
11.683,-0.08,0.01,-0.35,0.36
11.703,-0.13,-0.18,-0.31,0.38
