time,ax,ay,az,atotal
2.256,-0.43,0.59,1.06,1.29
2.276,-0.57,1.09,0.75,1.43
2.296,-0.55,1.06,0.35,1.25
2.316,-0.66,0.97,0.18,1.19
2.336,-0.25,0.8,-0.07,0.84
2.356,0.37,0.61,-0.37,0.81
2.376,0.61,0.51,-0.7,1.06
2.396,0.39,0.41,-0.85,1.02
2.416,-0.23,0.59,-0.76,0.98
2.436,-0.55,0.36,-0.75,0.99
2.456,-0.59,-0.18,-1.13,1.29
2.476,-0.17,-0.64,-1.59,1.72
2.496,0.56,-0.7,-1.73,1.95
2.516,1.39,-0.4,-1.47,2.06
2.536,1.57,-0.27,-1.07,1.91
2.555,1.5,0.05,-0.71,1.66
2.575,0.95,0.77,-0.39,1.29
2.595,0.25,0.35,-0.42,0.61
2.615,-0.23,0.11,-0.81,0.85
2.635,-0.4,-0.25,-0.97,1.08
2.655,-0.04,-0.51,-0.97,1.09
2.675,0.6,-0.42,-0.79,1.08
2.695,0.95,-0.43,-0.44,1.14
2.715,1.04,-0.45,-0.17,1.14
2.735,0.89,-0.43,-0.19,1.01
2.755,0.82,-0.54,-0.3,1.03
2.775,0.84,-0.56,-0.36,1.07
2.795,0.99,-0.5,-0.3,1.15
2.815,1.04,-0.2,-0.14,1.07
2.835,0.89,0.08,0.0,0.89
2.855,0.52,0.09,0.0,0.53
2.875,0.2,-0.02,0.03,0.2
2.895,-0.08,0.03,0.2,0.22
2.915,-0.04,0.09,0.38,0.4
2.935,-0.03,0.04,0.48,0.48
2.955,-0.16,-0.1,0.49,0.52
2.975,-0.16,-0.27,0.51,0.6
2.995,0.05,-0.35,0.57,0.67
3.015,0.24,-0.36,0.65,0.78
3.035,0.36,-0.2,0.73,0.84
3.055,0.47,-0.03,0.59,0.76
3.075,0.52,-0.05,0.54,0.75
3.095,0.49,-0.01,0.61,0.78
3.115,0.29,-0.03,0.79,0.85
3.135,0.16,-0.08,0.79,0.81
3.154,0.15,-0.14,0.65,0.68
3.175,0.22,-0.24,0.63,0.71
3.194,0.46,-0.36,0.61,0.85
3.214,0.42,-0.3,0.56,0.76
3.234,0.52,-0.15,0.41,0.68
3.254,0.8,-0.09,0.14,0.81
3.274,0.97,-0.19,-0.08,0.99
3.294,0.69,-0.07,0.09,0.7
3.314,0.25,0.37,0.25,0.51
3.334,-0.35,0.66,0.34,0.82
3.354,-0.33,0.55,0.46,0.79
3.374,-0.01,0.33,0.37,0.5
3.394,0.64,0.37,0.09,0.74
3.414,1.21,0.84,-0.06,1.48
3.434,1.22,1.51,0.1,1.94
3.454,0.81,1.98,0.57,2.22
3.474,0.34,2.23,0.92,2.43
3.494,0.2,2.51,0.73,2.62
3.514,0.3,2.83,-0.04,2.84
3.534,0.37,3.2,-0.93,3.36
3.554,0.17,3.31,-1.56,3.66
3.574,-0.46,2.99,-1.9,3.57
3.594,-1.09,1.99,-2.1,3.09
3.614,-1.21,1.25,-2.03,2.67
3.634,-0.62,0.81,-1.76,2.03
3.654,0.26,0.2,-1.35,1.39
3.674,0.65,-0.35,-1.24,1.45
3.694,0.46,-0.83,-1.45,1.73
3.713,-0.22,-1.24,-1.54,1.99
3.733,-0.94,-1.26,-1.48,2.16
3.754,-1.36,-1.24,-1.03,2.12
3.773,-1.39,-1.19,-0.74,1.97
3.793,-0.95,-1.14,-0.8,1.69
3.813,-0.32,-1.46,-1.17,1.9
3.833,0.28,-1.89,-1.4,2.36
3.853,0.62,-2.33,-1.42,2.79
3.873,0.57,-2.48,-1.37,2.89
3.893,0.25,-2.49,-1.39,2.86
3.913,-0.1,-2.48,-1.26,2.78
3.933,-0.39,-1.94,-0.85,2.15
3.953,-0.45,-1.0,-0.44,1.18
3.973,0.02,-0.21,-0.44,0.49
