time,ax,ay,az,atotal
1.977,-2.39,-9.33,-3.07,10.11
1.997,-1.59,-11.83,-2.34,12.16
2.017,-0.88,-14.96,-0.63,14.99
2.037,-0.31,-16.31,1.85,16.41
2.057,0.01,-12.11,4.22,12.83
2.077,4.03,22.7,-5.24,23.64
2.097,-6.32,66.96,-4.01,67.38
2.117,0.8,18.8,11.97,22.31
2.137,0.79,36.06,-0.53,36.08
2.157,0.63,24.37,5.86,25.08
2.177,-0.48,11.13,4.11,11.87
2.197,0.44,1.4,1.24,1.92
2.217,0.02,-5.07,-1.7,5.35
2.237,-1.17,-9.52,-5.54,11.08
2.257,-2.06,-10.89,-8.27,13.83
2.276,-1.51,-12.21,-8.03,14.69
2.296,-0.58,-16.95,-2.54,17.14
2.316,1.38,-21.21,1.53,21.31
2.336,1.41,-20.7,0.05,20.75
2.356,1.21,-14.26,1.07,14.35
2.376,1.02,-9.28,0.39,9.34
2.396,0.84,-6.45,-0.09,6.5
2.416,0.44,-4.96,-1.6,5.23
2.436,0.19,-4.98,-3.31,5.98
2.456,-1.09,-5.48,-5.59,7.91
2.476,-3.39,-6.65,-6.31,9.78
2.496,-5.55,-8.28,-3.91,10.71
2.516,0.21,-13.14,0.67,13.16
2.536,1.47,-14.19,1.83,14.38
2.557,1.43,-8.83,2.55,9.3
2.576,1.36,9.26,0.3,9.36
2.597,1.12,50.43,1.66,50.47
2.616,-7.03,29.66,-0.4,30.48
2.636,-3.22,29.26,13.04,32.2
2.656,3.31,35.94,7.65,36.89
2.676,2.56,24.78,5.08,25.42
2.696,2.22,15.77,1.52,16.0
2.716,0.88,8.38,-1.21,8.51
2.736,-0.58,1.32,-2.54,2.92
2.756,-1.26,-4.78,-3.87,6.28
2.776,-2.06,-9.57,-6.11,11.54
2.796,-3.83,-11.17,-2.53,12.08
2.816,-1.33,-14.69,-3.35,15.12
2.836,-0.39,-19.74,-2.73,19.93
2.856,0.62,-21.3,-4.33,21.74
2.876,1.21,-15.79,-2.94,16.11
2.896,0.68,-10.74,-0.68,10.78
2.915,0.81,-6.35,0.49,6.42
2.935,0.76,-1.63,-0.9,2.01
2.955,-0.67,-0.43,-1.94,2.09
2.975,-2.05,-3.01,-2.91,4.66
2.995,-1.72,-6.7,-3.65,7.82
3.015,-0.87,-9.85,-3.37,10.44
3.035,-0.21,-13.5,-2.43,13.72
3.055,0.19,-16.21,-2.46,16.39
3.075,0.31,-15.57,-2.14,15.72
3.095,0.54,-13.18,1.03,13.23
3.115,1.58,-9.63,5.21,11.06
3.135,7.45,31.67,1.72,32.58
3.156,-11.33,64.89,-10.5,66.7
3.176,-2.06,28.23,13.0,31.15
3.195,5.05,33.08,3.85,33.68
3.215,0.93,22.89,4.19,23.29
3.235,0.78,8.32,2.3,8.67
3.255,-0.1,0.73,-0.01,0.73
3.275,-0.86,-5.53,-1.82,5.89
3.295,-1.79,-9.87,-4.61,11.04
3.315,-3.71,-13.62,-3.49,14.54
3.335,-2.03,-16.8,-4.69,17.56
3.355,-0.74,-19.31,-4.29,19.8
3.375,1.25,-20.67,-4.25,21.14
3.395,1.72,-16.95,-1.52,17.1
3.415,1.9,-11.52,0.75,11.7
3.435,3.69,-5.99,0.4,7.05
3.455,2.16,-1.3,-2.41,3.49
3.475,-0.43,-0.46,-1.32,1.47
3.495,-2.12,-3.52,-1.82,4.5
3.515,-2.5,-7.0,-3.57,8.25
3.535,-1.43,-9.04,-4.08,10.02
3.555,-0.13,-12.87,-1.5,12.96
3.575,-0.14,-16.88,-0.13,16.88
3.594,-0.2,-15.42,0.59,15.43
3.615,-0.34,-11.61,3.18,12.04
3.634,0.51,7.94,-2.92,8.47
3.655,0.39,70.3,-5.96,70.55
3.675,-2.41,27.03,12.83,30.02
3.694,4.51,40.21,6.49,40.98
3.715,6.67,27.34,6.71,28.93
3.735,1.28,12.1,0.86,12.2
3.754,0.75,2.85,0.74,3.04
3.774,0.32,-3.42,-1.32,3.68
3.794,-0.03,-8.43,-5.3,9.96
3.814,-2.55,-10.56,-9.14,14.19
3.834,-4.27,-12.82,-6.87,15.15
3.854,-3.29,-17.83,-4.79,18.75
3.874,-3.34,-21.71,-3.06,22.18
3.894,0.0,-20.74,-2.02,20.84
3.914,0.47,-14.28,0.4,14.29
3.934,0.25,-9.81,0.32,9.82
3.954,0.45,-7.01,-0.07,7.03
3.974,0.7,-3.88,-1.56,4.23
3.994,-0.09,-2.22,-0.79,2.36
4.011,-0.59,-2.51,-1.45,2.95
4.031,-1.9,-4.08,-3.38,5.63
4.051,-2.99,-6.3,-4.66,8.39
4.071,-3.28,-7.81,-4.46,9.58
4.091,-0.99,-11.69,-2.85,12.07
4.111,-0.1,-14.46,-1.52,14.54
4.131,0.73,-15.24,0.07,15.26
4.151,1.57,-12.2,3.45,12.78
4.171,3.98,5.85,5.7,9.08
4.191,2.71,69.52,-12.84,70.75
4.211,-3.28,29.63,9.85,31.39
4.231,2.36,34.84,6.43,35.51
4.251,4.27,28.08,7.6,29.4
4.271,0.56,15.23,0.39,15.24
4.291,-0.03,4.82,0.74,4.88
4.311,-0.78,-2.06,-1.46,2.64
4.331,-1.65,-7.39,-5.7,9.48
4.351,-2.87,-10.58,-7.37,13.21
4.371,-4.1,-13.75,-5.45,15.34
4.395,-1.24,-19.92,-3.99,20.35
4.414,0.85,-21.72,-4.8,22.26
4.435,0.68,-17.91,-3.09,18.18
4.454,0.57,-11.61,-0.63,11.64
4.474,1.1,-7.36,0.33,7.45
4.494,1.24,-3.02,-1.47,3.58
4.514,-0.08,-0.47,-3.22,3.25
4.534,-1.46,-1.9,-4.07,4.72
4.554,-1.93,-4.57,-4.6,6.77
4.574,-1.41,-7.05,-2.87,7.74
4.594,-0.65,-12.14,-1.28,12.22
4.614,-0.62,-16.84,-1.2,16.9
4.634,0.24,-15.79,-1.18,15.83
4.654,0.81,-12.26,1.55,12.38
4.674,1.84,-5.19,7.54,9.34
4.694,5.41,57.84,-3.26,58.18
4.714,-7.81,47.29,-3.22,48.04
4.734,2.04,31.99,13.79,34.89
4.754,9.39,32.19,6.87,34.22
4.774,1.41,18.31,0.16,18.37
4.794,1.14,7.0,-2.24,7.44
4.814,-0.24,-1.06,-2.13,2.39
4.834,-2.03,-7.45,-4.86,9.12
4.854,-3.71,-12.29,-3.8,13.39
4.874,-3.55,-13.99,-6.06,15.65
4.894,-3.28,-17.98,-4.31,18.78
4.914,-0.03,-21.29,-3.65,21.6
4.934,0.59,-18.95,-4.1,19.4
4.954,0.91,-12.94,-1.65,13.08
4.974,1.32,-8.41,0.13,8.51
4.993,1.3,-2.57,-1.67,3.33
5.014,-0.73,1.37,-1.92,2.47
5.034,-2.4,-1.04,-4.07,4.83
5.054,-2.25,-6.22,-4.01,7.74
5.073,-1.61,-9.83,-2.5,10.27
5.094,-0.16,-13.47,-1.42,13.55
5.114,0.72,-16.47,-2.14,16.63
5.133,0.46,-16.38,-2.56,16.58
5.153,0.04,-13.82,-1.35,13.89
5.173,-0.4,-11.24,1.75,11.38
5.193,0.28,2.18,5.68,6.1
5.213,5.25,69.83,-14.34,71.48
5.233,-3.46,32.37,13.75,35.33
5.254,3.55,37.47,5.52,38.04
5.274,4.28,32.15,6.14,33.01
5.293,0.29,15.49,1.82,15.6
5.313,0.38,5.19,-0.01,5.2
5.333,-0.8,-2.43,-0.96,2.73
5.353,-2.11,-7.66,-3.22,8.57
5.373,-3.54,-11.5,-4.04,12.7
5.393,-3.72,-14.76,-5.58,16.21
5.413,-3.06,-18.5,-3.95,19.16
5.433,0.14,-21.34,-4.72,21.86
5.453,1.91,-20.41,-4.14,20.91
5.473,1.38,-13.65,-0.96,13.75
5.493,2.07,-8.53,1.45,8.89
5.513,3.02,-1.95,-0.39,3.61
5.533,0.49,1.57,-1.11,1.98
5.553,-2.5,-1.08,-2.03,3.39
5.573,-3.94,-5.75,-3.13,7.64
5.593,-3.56,-8.42,-3.6,9.83
5.613,-2.07,-11.74,-1.95,12.08
5.633,-0.15,-15.95,-1.48,16.02
5.653,0.8,-17.36,-2.13,17.51
5.673,0.65,-14.17,-1.45,14.26
5.692,0.3,-11.15,1.61,11.27
5.713,2.0,0.6,4.04,4.55
5.733,4.84,68.76,-10.08,69.67
5.753,-7.37,36.08,8.64,37.83
5.773,4.81,36.99,5.06,37.64
5.793,5.9,27.51,7.08,29.02
5.813,0.08,14.48,-0.42,14.49
5.832,0.01,3.96,1.01,4.09
5.852,-0.57,-2.32,0.13,2.4
5.872,-0.94,-7.88,-3.88,8.84
5.892,-2.13,-10.85,-7.78,13.52
5.912,-4.31,-13.31,-5.63,15.09
5.932,-3.96,-18.07,-2.75,18.7
5.952,-1.98,-21.62,-3.63,22.01
5.972,0.48,-20.3,-2.61,20.47
5.992,0.41,-14.46,0.33,14.47
6.012,0.71,-10.08,0.62,10.13
6.032,1.6,-6.52,-0.09,6.71
6.052,0.41,-3.04,-2.44,3.92
6.072,-1.28,-2.24,-1.58,3.03
6.092,-3.0,-3.89,-2.9,5.71
6.112,-4.24,-6.49,-4.5,8.96
6.132,-3.89,-8.03,-4.71,10.09
6.152,-1.05,-11.24,-2.29,11.52
