time,ax,ay,az,atotal
2.456,-0.53,-5.74,0.17,5.77
2.476,1.4,-8.43,-0.18,8.55
2.496,2.44,-11.07,-1.42,11.43
2.516,1.93,-12.81,-2.87,13.27
2.536,0.68,-12.66,-2.83,12.99
2.556,0.0,-11.27,-1.95,11.44
2.576,-1.05,-8.73,-1.74,8.96
2.596,-3.49,-4.08,-4.71,7.14
2.616,-4.49,7.72,-0.48,8.95
2.636,3.48,22.68,-3.49,23.2
2.656,6.38,11.24,-1.2,12.98
2.676,3.0,12.71,4.58,13.83
2.696,0.82,8.87,5.94,10.71
2.716,-1.3,7.51,1.19,7.72
2.736,-2.06,6.82,-0.89,7.19
2.755,-0.89,4.63,0.48,4.74
2.775,0.8,2.06,1.13,2.48
2.795,1.91,-0.5,0.46,2.03
2.815,2.01,-3.35,-0.37,3.92
2.835,1.43,-6.65,-0.39,6.81
2.855,0.11,-10.02,-0.47,10.04
2.875,-1.15,-12.2,-2.46,12.5
2.895,-1.6,-12.56,-4.38,13.4
2.915,-0.75,-11.11,-3.73,11.75
2.935,-0.38,-9.64,-2.46,9.96
2.955,0.49,-8.9,-1.49,9.04
2.975,1.91,-7.61,-2.16,8.14
2.995,1.15,-1.63,-5.58,5.92
3.015,2.18,10.75,-0.39,10.98
3.035,-2.75,14.76,-0.87,15.04
3.055,-2.07,12.88,0.56,13.06
3.075,-3.89,13.32,6.39,15.27
3.095,-1.63,11.53,8.57,14.46
3.115,1.83,8.74,2.35,9.24
3.135,0.8,4.92,-1.11,5.11
3.155,-0.52,2.94,0.19,3.0
3.175,-0.72,1.59,2.11,2.74
3.195,-0.55,-0.74,1.8,2.02
3.215,-0.63,-2.9,0.49,3.01
3.235,-0.53,-5.33,-0.45,5.37
3.255,0.11,-7.98,-0.62,8.01
3.275,0.84,-10.24,-2.06,10.47
3.295,0.53,-11.89,-3.34,12.36
3.315,-0.02,-11.9,-2.95,12.26
3.335,-0.32,-11.05,-2.21,11.27
3.355,-0.9,-9.82,-1.09,9.92
3.375,-0.25,-7.53,-2.28,7.87
3.394,0.03,-0.91,-3.51,3.63
3.415,-0.46,13.99,-2.39,14.2
3.435,3.12,15.23,-3.94,16.03
3.454,1.21,12.11,1.47,12.26
3.475,1.47,14.07,9.23,16.9
3.495,0.69,12.15,9.05,15.17
3.514,-1.22,8.61,2.33,9.01
3.534,-0.97,5.92,-0.87,6.06
3.554,0.25,3.07,-0.74,3.16
3.574,1.0,0.21,0.45,1.11
3.594,1.33,-2.36,0.27,2.72
3.614,1.91,-4.86,-0.67,5.26
3.634,1.45,-7.68,-1.46,7.95
3.654,0.1,-9.84,-1.84,10.01
3.674,-1.22,-11.19,-2.62,11.56
3.694,-1.39,-11.77,-3.57,12.38
3.714,-0.76,-11.71,-2.88,12.08
3.734,-0.27,-11.51,-1.83,11.66
3.754,1.2,-10.57,-0.53,10.65
3.774,0.84,-6.71,-2.66,7.27
3.794,1.03,2.83,1.19,3.24
3.814,-3.05,25.0,-4.97,25.68
3.834,-0.9,16.6,-0.89,16.64
3.854,-3.51,14.5,6.46,16.26
3.874,-2.35,11.75,8.57,14.73
3.894,1.4,9.45,1.53,9.67
3.914,0.68,5.61,-2.78,6.3
3.934,-0.87,3.46,1.12,3.74
3.954,-1.69,1.05,3.86,4.35
3.974,-1.28,-1.73,2.03,2.96
3.994,-0.19,-4.1,-1.27,4.3
4.014,1.71,-6.7,-2.29,7.28
4.03,2.53,-9.35,-1.65,9.83
4.05,1.99,-11.75,-1.89,12.07
4.07,-0.21,-12.83,-2.22,13.02
4.09,-1.71,-12.77,-2.43,13.11
4.11,-2.52,-11.44,-2.29,11.94
4.13,-2.42,-9.1,-2.12,9.65
4.15,-1.88,-4.91,-5.07,7.3
4.169,-1.34,4.26,-0.44,4.49
4.19,4.58,20.6,-2.94,21.31
4.209,5.19,15.34,0.76,16.21
4.229,0.02,13.19,6.49,14.7
4.25,-1.3,9.6,8.38,12.81
4.269,-1.61,8.51,2.66,9.06
4.289,-0.04,7.13,0.19,7.13
4.309,2.38,4.49,0.71,5.13
4.329,3.25,1.65,1.04,3.79
4.349,2.41,-1.37,0.4,2.8
4.369,1.68,-3.99,-0.45,4.35
4.389,-0.06,-7.15,-0.68,7.18
4.409,-1.28,-10.46,-1.25,10.61
